INFO  - 2015-09-30 12:57:26.135; org.apache.solr.core.SolrCore; [sci_names] webapp=/solr path=/select params={fl=sci_name,eol_url,thumb&q=sci_name:Ptycholepis+bollensis&wt=ruby} hits=1 status=0 QTime=0 
INFO  - 2015-09-30 12:57:26.137; org.apache.solr.core.SolrCore; [sci_names] webapp=/solr path=/select params={fl=sci_name,eol_url,thumb&q=sci_name:Ptycholepis+curta&wt=ruby} hits=1 status=0 QTime=0 
INFO  - 2015-09-30 12:57:36.249; org.apache.solr.core.SolrCore; [books_metadata] webapp=/solr path=/select params={facet=true&sort=views+desc&facet.mincount=1&start=0&q=*:*&facet.limit=4&facet.field=author_facet&facet.field=language_facet&facet.field=subject_facet&facet.field=location_facet&wt=ruby&rows=3} hits=15 status=0 QTime=1 
INFO  - 2015-09-30 12:57:36.251; org.apache.solr.core.SolrCore; [names_found] webapp=/solr path=/select params={facet=true&q=job_id:238259&facet.field=sci_name&wt=ruby&rows=0} hits=0 status=0 QTime=0 
INFO  - 2015-09-30 12:57:36.254; org.apache.solr.core.SolrCore; [names_found] webapp=/solr path=/select params={facet=true&q=job_id:238258&facet.field=sci_name&wt=ruby&rows=0} hits=127 status=0 QTime=0 
INFO  - 2015-09-30 12:57:36.257; org.apache.solr.core.SolrCore; [names_found] webapp=/solr path=/select params={facet=true&q=job_id:238265&facet.field=sci_name&wt=ruby&rows=0} hits=0 status=0 QTime=1 
INFO  - 2015-09-30 12:57:36.333; org.apache.solr.core.SolrCore; [sci_names] webapp=/solr path=/select params={fl=sci_name,eol_url,thumb&q=sci_name:Ptycholepis+marshi&wt=ruby} hits=1 status=0 QTime=0 
INFO  - 2015-09-30 12:57:36.336; org.apache.solr.core.SolrCore; [sci_names] webapp=/solr path=/select params={fl=sci_name,eol_url,thumb&q=sci_name:Ptycholepis&wt=ruby} hits=0 status=0 QTime=1 
INFO  - 2015-09-30 12:57:36.337; org.apache.solr.core.SolrCore; [sci_names] webapp=/solr path=/select params={fl=sci_name,eol_url,thumb&q=sci_name:Boreosomus&wt=ruby} hits=0 status=0 QTime=0 
INFO  - 2015-09-30 12:57:36.339; org.apache.solr.core.SolrCore; [sci_names] webapp=/solr path=/select params={fl=sci_name,eol_url,thumb&q=sci_name:Ptycholepis+bollensis&wt=ruby} hits=1 status=0 QTime=0 
INFO  - 2015-09-30 12:57:36.341; org.apache.solr.core.SolrCore; [sci_names] webapp=/solr path=/select params={fl=sci_name,eol_url,thumb&q=sci_name:Ptycholepis+curta&wt=ruby} hits=1 status=0 QTime=0 
INFO  - 2015-09-30 12:57:45.365; org.apache.solr.core.SolrCore; [books_metadata] webapp=/solr path=/select params={facet=true&sort=views+desc&facet.mincount=1&start=0&q=*:*&facet.limit=4&facet.field=author_facet&facet.field=language_facet&facet.field=subject_facet&facet.field=location_facet&wt=ruby&rows=3} hits=15 status=0 QTime=1 
INFO  - 2015-09-30 12:57:45.370; org.apache.solr.core.SolrCore; [names_found] webapp=/solr path=/select params={facet=true&q=job_id:238259&facet.field=sci_name&wt=ruby&rows=0} hits=0 status=0 QTime=0 
INFO  - 2015-09-30 12:57:45.374; org.apache.solr.core.SolrCore; [names_found] webapp=/solr path=/select params={facet=true&q=job_id:238258&facet.field=sci_name&wt=ruby&rows=0} hits=127 status=0 QTime=1 
INFO  - 2015-09-30 12:57:45.376; org.apache.solr.core.SolrCore; [names_found] webapp=/solr path=/select params={facet=true&q=job_id:238265&facet.field=sci_name&wt=ruby&rows=0} hits=0 status=0 QTime=0 
INFO  - 2015-09-30 12:57:45.442; org.apache.solr.core.SolrCore; [sci_names] webapp=/solr path=/select params={fl=sci_name,eol_url,thumb&q=sci_name:Ptycholepis+marshi&wt=ruby} hits=1 status=0 QTime=1 
INFO  - 2015-09-30 12:57:45.444; org.apache.solr.core.SolrCore; [sci_names] webapp=/solr path=/select params={fl=sci_name,eol_url,thumb&q=sci_name:Ptycholepis&wt=ruby} hits=0 status=0 QTime=0 
INFO  - 2015-09-30 12:57:45.446; org.apache.solr.core.SolrCore; [sci_names] webapp=/solr path=/select params={fl=sci_name,eol_url,thumb&q=sci_name:Boreosomus&wt=ruby} hits=0 status=0 QTime=1 
INFO  - 2015-09-30 12:57:45.447; org.apache.solr.core.SolrCore; [sci_names] webapp=/solr path=/select params={fl=sci_name,eol_url,thumb&q=sci_name:Ptycholepis+bollensis&wt=ruby} hits=1 status=0 QTime=0 
INFO  - 2015-09-30 12:57:45.449; org.apache.solr.core.SolrCore; [sci_names] webapp=/solr path=/select params={fl=sci_name,eol_url,thumb&q=sci_name:Ptycholepis+curta&wt=ruby} hits=1 status=0 QTime=0 
INFO  - 2015-09-30 12:58:28.110; org.apache.solr.core.SolrCore; [books_metadata] webapp=/solr path=/select params={facet=true&sort=views+desc&facet.mincount=1&start=0&q=*:*&facet.limit=4&facet.field=author_facet&facet.field=language_facet&facet.field=subject_facet&facet.field=location_facet&wt=ruby&rows=3} hits=15 status=0 QTime=1 
INFO  - 2015-09-30 12:58:28.113; org.apache.solr.core.SolrCore; [names_found] webapp=/solr path=/select params={facet=true&q=job_id:238259&facet.field=sci_name&wt=ruby&rows=0} hits=0 status=0 QTime=0 
